#P = 2, D = 1.89749, alpha = 0.8, beta = 0.3, mmax = 6
#Cycle center positions: x,y, cycle length: l
#x	y	l	error	maxix	minix	maxiy	miniy	maxjump_index	maxjump	numberofbandsvisited	min_index	max_index
6.95317e-310	6.95317e-310	1	0	-0	-0	0	0	0	0	1	0	0
-0.520833	3.70074e-17	3	0	-0.43136	-0.589899	0.312288	-0.266184	1	0.580515	2	-1	0
0.520833	-5.55112e-17	3	0	0.589899	0.43136	0.266184	-0.312288	1	0.580515	2	0	1
-0.390625	2.35922e-16	4	0	-0.276856	-0.515098	0.351748	-0.266801	1	0.622382	2	-1	0
1.73472e-16	6.93889e-17	4	0	0.238241	-0.238241	0.472066	-0.472066	1	0.782956	3	-1	1
0.390625	-1.38778e-16	4	0	0.515098	0.276856	0.266801	-0.351748	1	0.622382	2	0	1
-0.3125	3.55271e-16	5	0	-0.192719	-0.482638	0.37305	-0.261698	1	0.640056	2	-1	0
0.3125	-2.66454e-16	5	0	0.482638	0.192719	0.261698	-0.37305	1	0.640056	2	0	1
-0.260417	6.4763e-16	6	0	-0.122847	-0.467051	0.38496	-0.257085	1	0.648384	2	-1	0
-2.12793e-16	-2.86808e-16	6	0	0.344204	-0.344204	0.457632	-0.457632	1	0.7179	3	-1	1
0.260417	-3.70074e-16	6	0	0.467051	0.122847	0.257085	-0.38496	1	0.648384	2	0	1
-0.446429	4.0761e-15	7	0	-0.292927	-0.556852	0.356071	-0.289548	1	0.60342	2	-1	0
-0.223214	5.40044e-15	7	0	-0.0844463	-0.459037	0.391711	-0.253908	1	0.652618	2	-1	0
4.56777e-15	2.56144e-15	7	0	0.361221	-0.37459	0.42735	-0.47166	1	0.706535	3	-1	1
7.85879e-15	4.02456e-15	7	0	0.37459	-0.361221	0.47166	-0.42735	1	0.706535	3	-1	1
0.223214	-4.9167e-16	7	0	0.459037	0.0844463	0.253908	-0.391711	1	0.652618	2	0	1
0.446429	-2.0896e-15	7	0	0.556852	0.292927	0.289548	-0.356071	1	0.60342	2	0	1
-0.390625	-1.11612e-14	8	0	-0.214016	-0.54432	0.380676	-0.295729	1	0.616811	2	-1	0
-0.195313	-1.74305e-14	8	0	0.239362	-0.481389	0.525059	-0.453408	1	0.784796	3	-1	1
-0.195313	-3.14679e-15	8	0	-0.0603706	-0.454727	0.39556	-0.251917	1	0.65488	2	-1	0
-3.18426e-14	-1.79648e-14	8	0	0.365134	-0.391796	0.410444	-0.477474	1	0.70393	3	-1	1
-2.96776e-14	-1.63897e-14	8	0	0.394356	-0.394356	0.439372	-0.439372	1	0.6883	3	-1	1
-2.03518e-14	-1.13486e-14	8	0	0.391796	-0.365134	0.477474	-0.410444	1	0.70393	3	-1	1
0.195312	-1.13382e-14	8	0	0.481389	-0.239362	0.453408	-0.525059	1	0.784796	3	-1	1
0.195312	-7.91034e-16	8	0	0.454727	0.0603706	0.251917	-0.39556	1	0.65488	2	0	1
0.390625	1.66533e-16	8	0	0.54432	0.214016	0.295729	-0.380676	1	0.616811	2	0	1
