#P = 3.9, D = 1.89749, alpha = 0.8, beta = 0.3, mmax = 6
#Cycle center positions: x,y, cycle length: l
#x	y	l	error	maxix	minix	maxiy	miniy	maxjump_index	maxjump	numberofbandsvisited	min_index	max_index
6.95328e-310	6.95328e-310	1	0	-0	-0	0	0	0	0	1	0	0
1.66533e-16	1.85037e-16	3	0	0.475616	-0.329644	1.07518	-1.73542	6	2.81659	3	-3	3
4.81097e-16	4.44089e-16	3	0	0.329644	-0.475616	1.73542	-1.07518	6	2.81659	3	-3	3
-1.85037e-17	-1.85037e-17	3	0	0.317077	-0.219762	0.716785	-1.15695	4	1.87773	3	-2	2
-5.55112e-17	3.70074e-17	3	0	0.219762	-0.317077	1.15695	-0.716785	4	1.87773	3	-2	2
-9.25186e-18	-9.25186e-18	3	0	0.158539	-0.109881	0.358392	-0.578473	2	0.938863	3	-1	1
-2.77556e-17	1.85037e-17	3	0	0.109881	-0.158539	0.578473	-0.358392	2	0.938863	3	-1	1
1.94289e-16	2.63678e-16	4	0	0.381369	-0.338554	0.632756	-1.2371	4	1.88059	3	-2	2
7.21645e-16	2.22045e-16	4	0	0.407518	-0.428926	1.09062	-0.627753	3	1.58457	3	-2	1
1.52656e-16	2.77556e-17	4	0	0.338554	-0.381369	1.2371	-0.632756	4	1.88059	3	-2	2
-2.22045e-16	-1.52656e-16	4	0	0.428926	-0.407518	0.627753	-1.09062	3	1.58457	3	-1	2
-1.38778e-16	8.32667e-17	4	0	0.359962	-0.359962	0.774237	-0.774237	2	0.975012	2	-1	1
9.71445e-17	1.31839e-16	4	0	0.190685	-0.169277	0.316378	-0.61855	2	0.940294	3	-1	1
1.73472e-16	6.93889e-17	4	0	0.238241	-0.238241	0.472066	-0.472066	1	0.782956	3	-1	1
7.63278e-17	1.38778e-17	4	0	0.169277	-0.190685	0.61855	-0.316378	2	0.940294	3	-1	1
1.4877e-15	6.66134e-16	5	0	0.289919	-0.282043	0.42076	-0.51306	1	0.762463	3	-1	1
9.65894e-16	2.66454e-16	5	0	0.282043	-0.289919	0.51306	-0.42076	1	0.762463	3	-1	1
8.88178e-16	7.77156e-16	6	0	0.490153	-0.450785	1.87078	-1.76813	7	3.64537	4	-4	3
3.79326e-15	2.33147e-15	6	0	0.450785	-0.490153	1.76813	-1.87078	7	3.64537	4	-3	4
-7.40149e-16	7.40149e-17	6	0	0.354498	-0.32622	0.645027	-1.22052	4	1.87491	5	-2	2
5.73615e-16	6.29126e-16	6	0	0.32622	-0.354498	1.22052	-0.645027	4	1.87491	5	-2	2
-1.19349e-15	-8.32667e-16	6	0	0.302417	-0.306784	0.394059	-0.52939	1	0.751343	3	-1	1
-2.12793e-16	-2.86808e-16	6	0	0.344204	-0.344204	0.457632	-0.457632	1	0.7179	3	-1	1
-1.03621e-15	-7.21645e-16	6	0	0.306784	-0.302417	0.52939	-0.394059	1	0.751343	3	-1	1
3.429e-14	1.95399e-14	7	0	0.502752	-0.470888	1.06212	-1.75266	6	2.82172	5	-3	3
-2.42663e-15	-2.37905e-15	7	0	0.470888	-0.502752	1.75266	-1.06212	6	2.82172	5	-3	3
1.51942e-14	8.517e-15	7	0	0.348613	-0.284374	0.671684	-1.19914	4	1.878	5	-2	2
-3.40997e-15	-1.75257e-15	7	0	0.391326	-0.432524	0.736562	-1.15483	4	1.89466	4	-2	2
1.00634e-14	5.94762e-15	7	0	0.405575	-0.260666	0.780765	-1.13426	4	1.91667	5	-2	2
1.30689e-14	7.45435e-15	7	0	0.432524	-0.391326	1.15483	-0.736562	4	1.89466	4	-2	2
7.15301e-15	3.60029e-15	7	0	0.260666	-0.405575	1.13426	-0.780765	4	1.91667	5	-2	2
-7.57331e-16	-9.8334e-16	7	0	0.284374	-0.348613	1.19914	-0.671684	4	1.878	5	-2	2
5.40044e-15	2.87072e-15	7	0	0.304259	-0.320887	0.37956	-0.536537	1	0.745094	3	-1	1
2.31561e-15	1.17366e-15	7	0	0.250556	-0.263925	0.444438	-0.553519	2	0.94456	3	-1	1
2.66057e-15	1.87152e-15	7	0	0.263925	-0.250556	0.553519	-0.444438	2	0.94456	3	-1	1
2.60506e-15	1.69904e-15	7	0	0.320887	-0.304259	0.536537	-0.37956	1	0.745094	3	-1	1
-2.02754e-14	-9.75608e-15	8	0	0.464806	-0.464806	1.87099	-1.87099	7	3.63856	5	-4	4
-4.02456e-14	-2.31551e-14	8	0	0.350312	-0.268813	0.68605	-1.18897	4	1.88119	5	-2	2
-6.01602e-14	-3.33969e-14	8	0	0.411803	-0.271374	0.793584	-1.12651	4	1.92134	5	-2	2
-2.42653e-14	-1.22541e-14	8	0	0.271374	-0.411803	1.12651	-0.793584	4	1.92134	5	-2	2
-1.77289e-14	-9.25648e-15	8	0	0.268813	-0.350312	1.18897	-0.68605	4	1.88119	5	-2	2
-6.53644e-15	-3.53884e-15	8	0	0.303642	-0.328955	0.371494	-0.539943	1	0.741539	3	-1	1
-1.43496e-14	-7.85483e-15	8	0	0.240802	-0.299733	0.409597	-0.580447	2	0.960671	3	-1	1
-2.634e-14	-1.43982e-14	8	0	0.330304	-0.302293	0.541497	-0.472913	2	0.949474	3	-1	1
-1.28994e-14	-7.28584e-15	8	0	0.302293	-0.330304	0.472913	-0.541497	2	0.949474	3	-1	1
-2.3901e-14	-1.26982e-14	8	0	0.299733	-0.240802	0.580447	-0.409597	2	0.960671	3	-1	1
-1.57686e-14	-8.90781e-15	8	0	0.328955	-0.303642	0.539943	-0.371494	1	0.741539	3	-1	1
