#P = 1.1, D = 1.89749, alpha = 0.8, beta = 0.3, mmax = 6
#Cycle center positions: x,y, cycle length: l
#x	y	l	error	maxix	minix	maxiy	miniy	maxjump_index	maxjump	numberofbandsvisited	min_index	max_index
-1.5625	2.22045e-16	1	0	-1.5625	-1.5625	2.22045e-16	2.22045e-16	0	0	1	-1	-1
6.95328e-310	6.95328e-310	1	0	-0	-0	0	0	0	0	1	0	0
1.5625	-2.22045e-16	1	0	1.5625	1.5625	-2.22045e-16	-2.22045e-16	0	0	1	1	1
-1.5625	3.33067e-16	2	0	-1.54109	-1.58391	0.462862	-0.462862	2	0.926714	2	-2	0
-0.78125	1.66533e-16	2	0	-0.770546	-0.791954	0.231431	-0.231431	1	0.463357	2	-1	0
0.78125	-2.08167e-16	2	0	0.791954	0.770546	0.231431	-0.231431	1	0.463357	2	0	1
1.5625	-4.16334e-16	2	0	1.58391	1.54109	0.462862	-0.462862	2	0.926714	2	0	2
-1.04167	1.4803e-16	3	0	-0.972601	-1.13114	0.266184	-0.312288	1	0.580515	2	-1	0
-0.520833	3.70074e-17	3	0	-0.43136	-0.589899	0.312288	-0.266184	1	0.580515	2	-1	0
0.520833	-5.55112e-17	3	0	0.589899	0.43136	0.266184	-0.312288	1	0.580515	2	0	1
1.04167	3.70074e-17	3	0	1.13114	0.972601	0.312288	-0.266184	1	0.580515	2	0	1
-1.17187	-2.77556e-17	4	0	-1.06881	-1.30705	0.58318	-0.498232	2	1.08518	3	-2	0
-1.17187	7.49401e-16	4	0	-1.0474	-1.28564	0.266801	-0.351748	1	0.622382	2	-1	0
-0.390625	2.35922e-16	4	0	-0.276856	-0.515098	0.351748	-0.266801	1	0.622382	2	-1	0
0.390625	-1.38778e-16	4	0	0.515098	0.276856	0.266801	-0.351748	1	0.622382	2	0	1
1.17187	-8.60423e-16	4	0	1.30705	1.06881	0.498232	-0.58318	2	1.08518	3	0	2
1.17187	-7.21645e-16	4	0	1.28564	1.0474	0.351748	-0.266801	1	0.622382	2	0	1
-1.25	2.28706e-15	5	0	-1.17	-1.35859	0.558379	-0.494737	2	1.05607	3	-2	0
-0.9375	1.18794e-15	5	0	-0.687359	-1.16587	0.69839	-0.447027	2	1.15832	3	-2	0
-1.25	1.44329e-15	5	0	-1.07986	-1.36978	0.261698	-0.37305	1	0.640056	2	-1	0
-0.9375	1.36557e-15	5	0	-0.875951	-1.07574	0.309408	-0.32534	1	0.542563	2	-1	0
-0.625	1.75415e-15	5	0	-0.486764	-0.686549	0.32534	-0.309408	1	0.542563	2	-1	0
-0.3125	3.55271e-16	5	0	-0.192719	-0.482638	0.37305	-0.261698	1	0.640056	2	-1	0
0.3125	-2.66454e-16	5	0	0.482638	0.192719	0.261698	-0.37305	1	0.640056	2	0	1
0.625	-4.55191e-16	5	0	0.686549	0.486764	0.309408	-0.32534	1	0.542563	2	0	1
0.9375	-1.08802e-15	5	0	1.16587	0.687359	0.447027	-0.69839	2	1.15832	3	0	2
0.9375	-3.88578e-16	5	0	1.07574	0.875951	0.32534	-0.309408	1	0.542563	2	0	1
1.25	-1.34337e-15	5	0	1.35859	1.17	0.494737	-0.558379	2	1.05607	3	0	2
1.25	-1.84297e-15	5	0	1.36978	1.07986	0.37305	-0.261698	1	0.640056	2	0	1
-1.30208	3.38618e-15	6	0	-1.20191	-1.38185	0.543719	-0.497615	2	1.04369	3	-2	0
-1.04167	-1.04546e-15	6	0	-0.893393	-1.25901	0.616391	-0.488516	2	1.11055	3	-2	0
-1.04167	2.43324e-15	6	0	-0.756262	-1.21722	0.688149	-0.424944	2	1.127	3	-2	0
-0.78125	1.41091e-15	6	0	-0.595995	-1.00829	0.338856	-0.410614	1	0.510001	2	-1	0
-0.260417	6.4763e-16	6	0	-0.122847	-0.467051	0.38496	-0.257085	1	0.648384	2	-1	0
0.260417	-3.70074e-16	6	0	0.467051	0.122847	0.257085	-0.38496	1	0.648384	2	0	1
0.78125	-5.50486e-16	6	0	1.00829	0.595995	0.410614	-0.338856	1	0.510001	2	0	1
1.04167	-9.99201e-16	6	0	1.21722	0.756262	0.424944	-0.688149	2	1.127	3	0	2
1.04167	-2.56276e-15	6	0	1.25901	0.893393	0.488516	-0.616391	2	1.11055	3	0	2
1.30208	-1.98915e-15	6	0	1.38185	1.20191	0.497615	-0.543719	2	1.04369	3	0	2
-1.33929	4.88498e-15	7	0	-1.21325	-1.42109	0.535156	-0.500792	2	1.03794	3	-2	0
-1.11607	-4.01266e-15	7	0	-0.951945	-1.29545	0.615105	-0.465152	2	1.08703	3	-2	0
-0.892857	-5.07531e-16	7	0	-0.598344	-1.211	0.650745	-0.477302	2	1.13605	3	-2	0
-0.892857	6.56618e-15	7	0	-0.638678	-1.15404	0.715623	-0.432993	2	1.1638	3	-2	0
-1.11607	2.78349e-15	7	0	-1.00565	-1.26957	0.289548	-0.356071	1	0.60342	2	-1	0
-0.892857	6.96268e-15	7	0	-0.810536	-1.06197	0.321706	-0.323912	1	0.533676	2	-1	0
-0.669643	5.79695e-15	7	0	-0.500529	-0.751964	0.323912	-0.321706	1	0.533676	2	-1	0
-0.446429	4.0761e-15	7	0	-0.292927	-0.556852	0.356071	-0.289548	1	0.60342	2	-1	0
0.446429	-2.0896e-15	7	0	0.556852	0.292927	0.289548	-0.356071	1	0.60342	2	0	1
0.669643	-2.83107e-15	7	0	0.751964	0.500529	0.321706	-0.323912	1	0.533676	2	0	1
0.892857	-3.69546e-15	7	0	1.15404	0.638678	0.432993	-0.715623	2	1.1638	3	0	2
0.892857	-2.7597e-15	7	0	1.211	0.598344	0.477302	-0.650745	2	1.13605	3	0	2
0.892857	-3.79062e-15	7	0	1.06197	0.810536	0.323912	-0.321706	1	0.533676	2	0	1
1.11607	-3.85406e-15	7	0	1.29545	0.951945	0.465152	-0.615105	2	1.08703	3	0	2
1.11607	-8.176e-15	7	0	1.26957	1.00565	0.356071	-0.289548	1	0.60342	2	0	1
1.33929	-6.5186e-15	7	0	1.42109	1.21325	0.500792	-0.535156	2	1.03794	3	0	2
-1.5625	-1.03251e-14	8	0	-1.33173	-1.75575	0.647477	-0.278275	2	0.935198	3	-2	0
-1.36719	-3.33553e-14	8	0	-1.21817	-1.47035	0.530193	-0.503094	2	1.03507	3	-2	0
-1.17188	-3.74145e-14	8	0	-1.01562	-1.33883	0.574004	-0.48821	2	1.06601	3	-2	0
-1.17188	-3.43406e-14	8	0	-0.984562	-1.31487	0.612107	-0.459282	2	1.07833	3	-2	0
-0.976563	-2.22704e-14	8	0	-0.833477	-1.24668	0.626991	-0.483348	2	1.11676	3	-2	0
-0.976563	-3.80321e-14	8	0	-0.659079	-1.24924	0.655919	-0.459858	2	1.11068	3	-2	0
-0.976563	-3.72549e-14	8	0	-0.72448	-1.18519	0.68946	-0.445246	2	1.14715	3	-2	0
-0.976563	-3.47083e-14	8	0	-0.662989	-1.18775	0.718388	-0.406296	2	1.14238	3	-2	0
-0.78125	-2.44874e-14	8	0	-0.56644	-1.12482	0.733272	-0.430361	2	1.18031	3	-2	0
-1.17188	-4.9287e-14	8	0	-1.01818	-1.34848	0.295729	-0.380676	1	0.616811	2	-1	0
-0.976563	-1.03563e-14	8	0	-0.884108	-1.11488	0.309766	-0.337712	1	0.571774	2	-1	0
-0.78125	-2.63678e-14	8	0	-0.598709	-1.02272	0.32465	-0.416046	1	0.51859	2	-1	0
-0.585938	-1.81383e-14	8	0	-0.447624	-0.678392	0.337712	-0.309766	1	0.571774	2	-1	0
-0.390625	-1.11612e-14	8	0	-0.214016	-0.54432	0.380676	-0.295729	1	0.616811	2	-1	0
0.390625	1.66533e-16	8	0	0.54432	0.214016	0.295729	-0.380676	1	0.616811	2	0	1
0.585938	7.62237e-15	8	0	0.678392	0.447624	0.309766	-0.337712	1	0.571774	2	0	1
0.78125	2.54657e-15	8	0	1.12482	0.56644	0.430361	-0.733272	2	1.18031	3	0	2
0.976562	-1.51268e-15	8	0	1.18775	0.662989	0.406296	-0.718388	2	1.14238	3	0	2
0.78125	8.2781e-15	8	0	1.02272	0.598709	0.416046	-0.32465	1	0.51859	2	0	1
